,sdbAre_meanIQ,sdbAre_rangeIQ,sdbAre_TheilID,sdbPer_meanIQ,sdbPer_rangeIQ,sdbPer_TheilID,ssbCCo_meanIQ,ssbCCo_rangeIQ,ssbCCo_TheilID,ssbCor_meanIQ,ssbCor_rangeIQ,ssbCor_TheilID,ssbSqu_meanIQ,ssbSqu_rangeIQ,ssbSqu_TheilID,ssbERI_meanIQ,ssbERI_rangeIQ,ssbERI_TheilID,ssbElo_meanIQ,ssbElo_rangeIQ,ssbElo_TheilID,ssbCCD_meanIQ,ssbCCD_rangeIQ,ssbCCD_TheilID,stbCeA_meanIQ,stbCeA_rangeIQ,stbCeA_TheilID,mtbSWR_meanIQ,mtbSWR_rangeIQ,mtbSWR_TheilID,mtbAli_meanIQ,mtbAli_rangeIQ,mtbAli_TheilID,mtbNDi_meanIQ,mtbNDi_rangeIQ,mtbNDi_TheilID,ldbPWL_meanIQ,ldbPWL_rangeIQ,ldbPWL_TheilID,stbSAl_meanIQ,stbSAl_rangeIQ,stbSAl_TheilID,ltcBuA_meanIQ,ltcBuA_rangeIQ,ltcBuA_TheilID,sssLin_meanIQ,sssLin_rangeIQ,sssLin_TheilID,sdsSPW_meanIQ,sdsSPW_rangeIQ,sdsSPW_TheilID,stsOpe_meanIQ,stsOpe_rangeIQ,stsOpe_TheilID,svsSDe_meanIQ,svsSDe_rangeIQ,svsSDe_TheilID,sdsAre_meanIQ,sdsAre_rangeIQ,sdsAre_TheilID,sdsBAr_meanIQ,sdsBAr_rangeIQ,sdsBAr_TheilID,sisBpM_meanIQ,sisBpM_rangeIQ,sisBpM_TheilID,sdcLAL_meanIQ,sdcLAL_rangeIQ,sdcLAL_TheilID,sdcAre_meanIQ,sdcAre_rangeIQ,sdcAre_TheilID,sscERI_meanIQ,sscERI_rangeIQ,sscERI_TheilID,sicCAR_meanIQ,sicCAR_rangeIQ,sicCAR_TheilID,stcSAl_meanIQ,stcSAl_rangeIQ,stcSAl_TheilID,ldkAre_meanIQ,ldkAre_rangeIQ,ldkAre_TheilID,lskElo_meanIQ,lskElo_rangeIQ,lskElo_TheilID,likGra_meanIQ,likGra_rangeIQ,likGra_TheilID,meshedness_meanIQ,meshedness_rangeIQ,meshedness_TheilID,sdsLen_meanIQ,sdsLen_rangeIQ,sdsLen_TheilID
foz,0.14566934990113187,0.07489536481851498,0.19309990079836437,0.5253618644212462,0.3509695139238562,0.2248251023384115,-1.5821752339224957,1.2897215733816423,1.6256142842196792,1.4185701647889555,1.3410649966707515,0.8532365034757612,0.7893861507717637,1.1335231334885612,-0.19569378495104686,-0.42617341511978496,0.18897772294413462,-0.22593728633212257,-1.8098683778598028,-0.044782760882438384,1.62586303498349,0.6561493183696313,0.6450061859994423,0.3893888762503337,0.5005443057747284,0.26169587660421634,-1.0524231957378547,0.4424684215129188,0.47083375721309284,-0.36768099153594475,-0.16371654013020379,-0.03517158118148976,0.036252973093059186,0.35367218895763636,1.0296597960814038,0.21010396296513026,0.016682321972850744,0.3737009754978827,0.04175240962491704,0.253219174517942,0.300170803247635,-0.42985360363286795,-0.20225487007525367,0.0,1.589973035810048,0.5466828090162873,-0.5422130942942023,-0.6952155115364266,0.0728481991376603,-0.05539852645256357,-0.20344443119661357,-0.06598243994538346,-0.23779838913389917,-0.4156189045329642,0.2894294598380259,0.38784751526882466,-0.35136193827846807,0.0278661871690707,0.21674494184386686,-0.2686898565333712,0.2924236721746755,0.3529712532794594,-0.5914086957028871,-0.1186284292052748,0.368524479101539,0.5626214053990157,0.5738078226589749,0.7423953432246438,0.16105005025462302,-0.05245712018793775,-0.022959868969470262,0.0209882694813547,-1.4250178609477901,0.9139864900831786,1.0175152114379928,-0.1929040712618339,0.20571539866983532,-0.010264059955618878,0.08170710278033871,-0.08970838506990456,-0.7578153160437514,1.4171031853450509,1.3253537707762877,0.21818858361737586,1.1337877369249356,-0.045785884962562015,-0.5005582944510181,-0.6972263226260219,-0.5747176666782361,-0.10631372479757191,0.6532755876122887,1.03420951256331,-0.24102162855023057,0.4610523903891314,0.7240876417025716,0.028703353828225336
aguda,-0.690153952359742,-0.6154062581670205,-0.3304678340294906,-0.6220195442234375,-0.2855710139471788,0.06593134243315872,-1.0522843316039758,0.6519605363478334,0.7577083674032947,0.17808078336116243,0.5592295330246453,0.07974276456273738,-0.452272287433413,-0.44121176131956014,0.2871807780762857,-0.8713945491620572,1.2042039018823631,0.9934709505250545,-0.9138301140722058,-0.8837452165497693,0.5799680495997439,-0.6616765425243453,-0.20946677325896854,0.09942567532741495,-0.20680324207377226,-0.13058634373293806,0.3381429048935496,0.20876757359310102,0.08623978218334447,-0.30726587390868987,-0.7453672098597378,-0.8266012908879535,0.032125965055873444,-0.6979843318633324,-0.2909046814518214,0.2318243666950565,1.197392849204954,1.0977113498052598,-0.029152617038916313,-0.7177620668046979,-0.6916333597470425,-0.45286562216836496,-0.7539334276435494,0.0,-0.4361872930098384,0.5668710042482378,-0.5977293148231642,-0.6967230603447088,0.3191426313110659,-0.7700524386908433,-1.0393352254343586,0.2445432249025876,-0.8999368895696105,-0.7982223033785206,-0.7781412304716357,1.1784237104792432,1.0057858834194702,-0.020271240613697204,-0.14449015942967783,-0.8588996576939939,-0.038926959547440604,-0.28208033121957676,-0.37662059450692736,1.7365460201308107,1.0743271545375752,0.547728855606984,-0.7632643182284002,-0.2824738005915828,0.45947138799752635,-0.7386557753241034,-0.5503733879283104,0.4700823156066867,-0.05298468158252272,0.6807546194022769,0.5414908218173718,0.3323641860449773,1.904833813463729,0.7651431814062762,-0.6557859577333439,-0.900866041015219,-0.3158627810091333,-0.2569677991518833,-0.41781936702345973,-0.3228914446294274,1.6013031584342516,0.9608962497347678,-0.646004016513974,0.21410467265598385,0.6712452741001395,0.38486374230982684,3.1052346267835187,-0.5063060360070585,-0.4068276586419513,-0.6155181711626827,-0.8180457950149426,-0.1716641432958607
esposende,1.1158746257068433,0.5872451728447584,-0.07454336730133955,1.3786636989843286,0.7142407121299341,0.6379598520385621,-0.6528573123217091,1.0047274027611028,2.0578031440360065,3.159202861067789,2.9047359239629635,1.9299323456009974,1.2309280414044195,1.0782202327178652,-0.687595403336335,-3.635130091254819,3.578635427688742,4.407947290512252,0.11083937477652585,-0.29635661112306055,0.12097275895624916,1.011716581769809,0.5224198629797306,-0.19323673938117925,1.8888432631644152,1.00503547215555,-2.6746303794456536,-1.405141229710135,-1.556148323192809,1.4632491365634532,1.6574454825277734,0.7415474373103791,-0.9208465880849265,2.0267464400631843,1.0110666587893025,-0.662436155691863,0.007913527510738592,0.9992794918459789,1.7678109231122705,0.66844941777869,-0.32322569402892065,-1.4837946794876344,1.458717158084796,0.0,-0.4361872930098384,0.3060492798395022,-0.39269388811847006,-0.6389277254463378,1.8888791881313352,-0.9383709929815319,-0.9056304852979581,0.2903357611588422,0.589874736410741,-0.5230365505829891,-0.16990119446111315,-0.5212556816406728,-0.2215066250444731,1.295408865904455,1.1743068045318519,-0.6938371295380901,0.8328173692521764,-0.05579565719823136,-0.6873561195398596,-1.119362141585337,-0.9206972902831402,0.2806629815199432,1.8367153040023345,0.3811248023342691,-0.645413230736822,2.0342814153519697,1.226915260897676,-0.46820559663564043,-0.7709992365962519,0.4095555651103041,1.0734557676546814,-1.6319229745152883,-0.09676000553836009,2.382524329048325,1.3382024826350851,0.46840412608084414,-1.633913857357658,0.836752023416062,-0.3356221600006997,-1.0154704707575273,1.9609617491783466,-0.15264138564120922,-0.925141882271697,-1.4152578751612563,-1.3610382684093383,-0.7325110355269484,-0.49320069069665573,0.7525139316782737,-0.12113124541674673,1.7052678294082926,0.8550353387594856,-0.21504277304199046
espinho,-0.4886545564176414,-0.8375932220753476,-1.2924063154817547,-0.3904492814034996,-0.8370127260467167,-1.1015801403422334,-0.5882725605327757,0.3930737120742629,0.2951096314646021,-0.2334391022663143,-0.22260593062146078,-0.11781800164004591,-0.6952167560417458,-0.5613739332013576,1.0959495335555436,0.38655093743342206,-0.2142516542897113,-0.44033517073074346,-0.9227754030090005,0.2777618457792272,0.7331882412993216,-0.3272245401535237,-0.6626617565368147,-0.9588271522920041,-1.0447863328086935,-1.147876712128192,0.4727198210000309,1.2918417778115416,-1.1188771349442088,-1.2917934363622103,-1.173471907820077,-1.2358737083944535,-0.22087223801922842,-0.5927311566888068,-0.03455659840984271,2.1547004056875485,0.9851870175314401,-0.8491920332846402,-1.2873670346824397,-1.1552731676240062,-1.24181047856161,1.0299147098023906,-1.4573357545053847,0.0,-0.4361872930098384,0.5669685846796585,-0.5982687350626403,-0.6967232764670866,0.9299442164456997,-1.036874536168239,-1.10460855632295,1.2573728862150932,-0.6516349519062187,-0.9205669472812863,-1.9679014794101857,-1.5077903805926585,3.266503662248355,-0.6251657940193285,-0.6895260483930926,-0.6065204230467857,-0.6300859997417168,-0.6204129758045718,-0.5253446998005903,-0.0862416087755176,-0.34097841503965814,-0.4518092659265527,-0.4875432733345656,-1.0366399836231772,-1.1935292483849054,-0.6195363164088128,-0.7319595757048749,-1.1579290108877254,0.012510777123887559,-0.31666456239329266,-0.47817445631532546,0.7011844783756247,0.36583495301458097,-0.5547927295625802,-1.4447753458291992,-1.6366321195997606,2.9374139453016097,-0.5426600862672861,-0.37972121043764123,-0.37128558075966156,0.1272625064579379,0.9235622314861603,0.4594055274234935,0.39250330293829133,-0.28163946354685954,-0.8691004635254954,1.3320396404631043,1.1999220680426128,-0.23797736037413275,-0.7603623791633479,-0.3968202412845692,-0.561585388410456
povoa,0.2363309190758522,-0.45690557533343945,-1.0220815332198148,0.6680690371384808,-0.9888129954106254,-1.366324873364566,-2.686535507623343,1.250062621432706,1.949152849508452,-0.21933435528319,-0.22260593062146078,-0.45817484313767093,-0.1956955623794075,-0.16699566350850029,-0.01603512942070025,0.15215941615578824,-0.47855908696703736,-0.6034222389868757,-2.8084084031210494,-1.0135987304289387,2.056688377751811,1.1594835851996381,-0.6801929229907001,-1.351985076380662,0.0869672860864952,0.340860293020182,0.10032881682606268,1.3176274955041525,-0.05580872555284539,-0.7047041838825884,-0.38923973977905285,-0.5047437639085316,-0.3839398312722196,0.2554224667403343,-0.22490073306983596,-0.9379335349327919,4.056843825844382,3.497469561055582,1.8687325305823155,-0.3626437773336429,-0.25078485365350534,0.2974228610874027,-1.0447015242070463,0.0,-0.9427273752148091,0.566959611588351,-0.5982545109263522,-0.6967216719100227,-1.3178641991943945,1.3626720759538833,2.014781160642407,-0.5138249923240406,0.0577991557034722,-0.4870325161785709,-0.8604329230230393,-0.5999787243147348,-0.051426556958241894,0.7107026219240464,0.754957362202184,0.3302618528744234,1.4525458627802932,1.5873800675341385,0.7126055634720471,0.5799991684585396,1.0938200165323109,0.5298311593463718,0.47476752151679613,-0.8517460753334474,-1.520757868177212,-0.19200166739910185,-0.5315537132255099,-1.166226362935621,-1.4015820835551942,0.8640812252487658,0.8575256758197053,0.6688040623011487,-0.8715940828377672,-0.8928878317347433,-0.25809817228965215,-0.23489728809080476,-0.3169958766445171,0.8116842086770899,0.6708954341042634,-0.4472091238044929,-0.3452592296453157,0.5172436243846037,0.8313408892096873,-0.3269710177557769,-0.6280269072192904,-0.9251070995636558,0.9847296466013511,-1.0436101807203915,-0.41251708490836586,0.34934979130792965,0.06783252241990706,-0.48217799290623103
vila_do_conde,-0.6412806680837084,-0.9003493461736528,-0.8055942565953437,-0.4184973993435808,-0.874376229957982,-0.6371795318890501,-2.2733265342676927,1.6096170216800125,1.7812106647232424,-1.5635528060488377,-1.786276857913673,-1.2703125297180031,-1.0172223527891076,-1.1257614611583822,0.8063883981043595,0.9393574762531829,-1.2039398033573347,-0.9445352765922043,-2.7577494563534506,-0.3249464313633815,2.2499517220781864,0.02518555565244688,-0.23982202406621042,-0.13507007982835673,0.02200400881620263,0.4206374503774784,0.8044372268375287,-0.7464925362045395,0.07948859811138106,0.15088644682531852,-1.2416024627782196,-1.4148762683146539,-0.7423107877448539,-0.1809485569242914,0.1667612872976144,0.2490328123025363,-0.192599642680047,0.18721964168857252,0.8762065524960191,-1.2057773110141923,-1.2947600931737269,-0.7892530098440157,-0.20829468861010086,0.0,-1.4492674574197901,0.5668025091937847,-0.5979743098558398,-0.6967232549457544,0.8476410062771885,-0.5717205978797997,-0.6428758973093818,1.439251874784434,-1.715786113320755,-0.9646045450075683,-1.6271137588993083,-2.08568967506556,0.06855098671049097,0.26659611422953167,0.028137602449798068,-0.9227031534189328,0.37344089113762924,-0.6040033732611868,-0.8621386087178404,0.6243980513217514,-1.0493583565931126,0.45931210942130024,-0.07687792765223576,-0.5968528526150771,-0.7421798717421029,-0.5610692284802772,-0.7237575775463292,-0.9110730673878072,-1.8254629880472972,1.7391119437015066,2.0580584955484778,-0.5320861291279976,1.1081581612843263,1.3551360078431358,-1.0412135175382693,-0.9258672579711033,0.9155836782148576,0.37879750427336734,-0.33045654940113617,-0.9090997048782058,-1.0375106398091034,-0.9346409583018445,-0.07047194232323337,-0.1988295348065416,-0.09662376641791054,-0.49236349504608756,0.27527571533949735,-1.0161892901721237,-0.39744407332302467,0.5813701519978661,1.5098121452668825,0.17481946895287725
vila_praia,-0.2363440507122283,-0.3092691617767814,-0.5637410970948119,-0.07374317806097379,-0.40670697906232683,-0.725052289185954,-0.558345236139751,-0.29644254131812203,-0.39452818171805853,0.3485250289081082,-0.22260593062146078,-0.17394428756639552,1.7099395731467766,1.2446195984070012,-0.5262002882617824,-0.5733726889381224,0.5979573611133394,0.024065026469058098,-0.2775357972173071,0.9099539157223867,0.12131411287004537,-0.13328783895932217,-0.5156824084952993,-0.7093627664029797,0.30080398312155626,0.4285972226789972,0.04061712471038479,-0.5640643688092708,1.060841749538325,0.008215206226671526,0.4835051408409472,1.1919716962734803,0.45499847628823836,-0.7837836932017375,-0.7778523602745364,-0.3879890858030248,0.8977900091151122,1.2058414766415184,0.09894520036371719,0.6884524996863811,1.2150402088307475,-0.017885486252024862,-0.4738573398716595,0.0,-0.9427273752148123,0.5271386877307284,-0.53433534447046,0.11394489699482502,0.2324456447723578,-0.4314022420813637,-0.08114260018973139,0.24845864851506083,0.5071074238562773,-0.07176847583355009,0.5671386514220507,-0.15096063700386325,-0.35675368694970744,-0.1687426249972086,-0.26903933259843454,-0.7076070045219962,0.05861588921797856,0.02248914335838499,-0.5177832698537602,-0.016781170881438816,-0.0518238608094274,-0.2976271821417182,-0.2858855104550943,-0.4883960150300185,-0.7375224102628166,-0.44020564441502,-0.5105594989734951,-0.8594724951359974,-0.7963519674433553,-0.13118999048307362,-0.6415309935490333,0.5184040743156647,0.37194216994881796,-0.6227560403739598,0.8968927910008525,1.5604421474132282,-0.3913612179390455,-0.5122428800029113,-0.4236213969901449,0.9052736316227805,0.06055341657475452,1.272229402265537,0.9391866282524343,-0.2606243892132804,-0.3110594189968493,-0.8721273175243467,0.6706588190052638,0.543844133938937,-0.2729326727848098,0.2709583228801201,1.68155595956879,1.100863998841328
costa_nova,-0.3085598415837818,-0.46483451902397693,-0.4761245764501485,-0.10183908118866948,-0.22802607656617993,-0.3588660365866361,-1.1242088042854685,1.8825282794740057,2.0210401729915346,-0.3710114136572278,-0.22260593062146078,-0.4352370463091005,-0.8353577376010134,-1.1170712326460197,-1.6598372876162257,0.49271755448680504,-0.30191453848534916,-0.3946199744466833,-1.343122528045322,0.9345396368425565,1.7446426741835743,0.030773096544871283,0.020901482703151945,-0.19653895546328687,-0.45021258796995484,-0.4828885276594016,0.6890697151644513,-0.8000433609491121,0.9758717732017004,0.4151340602353661,-0.8084738733218578,-0.8886080075244248,-0.5730024175908713,-0.06113075694098774,-0.11022140018472668,-0.37108166224513595,-0.4025714059155295,0.3774057391506046,1.4784011222259137,-0.7690530872538589,-0.902864149652766,-0.7516290723445838,0.3788365787102866,0.0,-0.4361872930098384,0.5637819838638776,-0.5896306946508687,-0.6963168539996996,-0.847533094991336,0.9727140134720641,0.7211566608306147,0.675431504888296,0.17603817363842142,-0.5146427036755984,-0.8433662589703029,0.4733746114885826,0.5442129516030407,0.43920301281211405,0.041928446405987876,-0.8268043263657585,0.302245410134131,0.03516326108203234,-0.7115923452048559,0.7713065742916059,1.5291456954924045,1.2204543113392703,0.08235353592965161,0.1780102915897623,0.37487548337610405,-0.24324453285890274,-0.2661392242288981,-0.24182184383476735,-0.6378843999420332,1.2852261904779048,1.422385223910059,-0.5888456864152178,0.8035143855017214,0.9721662785860251,-0.9493208024386713,-1.0356521155374785,0.21588345013238075,0.1525751260608277,-0.23554535134468435,-0.31074493573246637,-0.6008222302833056,-1.085449322351229,-0.5385436231382045,-0.19011855549043166,-0.892778339590039,-0.9555507738818442,1.1548666811178174,-0.3837001725427184,-0.30746940859979244,-0.04216270055939953,-0.18538796185682405,0.37769320167934994
praia_mira,-0.15627939867388288,-0.1563430982934281,-0.15605237389295706,-0.09612637686375025,0.027534450075287407,-0.09959166653340078,0.2554486831435568,0.10169939159158653,-0.23106127215991326,-0.22649480438071612,-0.22260593062146078,-0.37457032036763926,-0.83165119602943,-0.9467506940587319,0.2172723245136909,0.515209993961547,-0.3624918603738498,-0.29320527452746264,-0.001421211831933297,0.1572883075043785,-0.11535133177212868,-0.0829353373471558,0.12827123354558354,0.09754424872380874,-0.243617309617348,-0.0808400154480666,0.9171695346035541,-0.8138005955171832,0.327922812593249,0.23220880137265865,-0.5594522321883358,-0.2417983421715031,0.8191994474221392,-0.41655629155368146,-0.2746877351748254,-0.15640365550269078,0.15984815919350823,0.4689695607727859,1.6523921523689735,-0.09026114795771328,0.369201518614903,0.39214784362414357,0.018192776068595626,0.0,1.5899730358100803,0.38828415149182605,-0.19605257387956904,-0.038073187923630576,-1.9358114310252281,1.2187225255398548,1.2889908577624898,-0.06716317441725549,0.09327086108395719,-0.6156619943748444,0.36330251844746414,0.430514231770279,-0.39335971109133827,0.2923124081098233,0.09990804939020298,-0.8496785175947074,0.6406831682238193,0.15423973151680345,-0.9644427190044759,1.2933311121811462,0.5904564540288636,-0.15288709436306078,-0.4072587287263004,-0.2471035754835298,-0.02647783288858247,-0.42997526095780614,-0.4547613406510294,-0.09112654873665274,0.3672571684374143,0.323752705649839,-0.07096172812195117,0.40328917914734475,0.17343438681792062,-0.49193855365343186,-0.09569323421865557,0.4424671544320528,0.45810157782504424,0.08964573940055155,-0.1666411777507436,1.0971325073467588,0.04841327230357505,-0.34225254623394497,0.4430459190619788,-0.25414562285671416,0.8465643668191898,0.5238756129344758,0.9863593886822478,0.0984657069369731,-0.3392444014253013,-0.5835337124879452,0.030991658940798868,-0.24848449070315215
palheiros1,0.9015658909934984,-0.20032693495982912,-1.1924647881303723,0.8469551913879838,-0.7578423106111348,-1.2560828391063734,1.6821137584162984,-2.462427663214199,-1.5183847474325998,-0.6124136961064319,-0.22260593062146078,-0.09975659863254895,-0.9922550122769005,-1.204299895106382,-2.0534361986151923,0.9201930524009359,-1.126229002068494,-0.8996496074439557,1.4073001270618675,-1.7391132569854526,-1.146053305430767,0.8243510789503292,-0.4223043752079399,-1.0631671844552653,0.16870414605495468,-0.06529764047622262,-1.3976401359332944,-1.659845778610943,-3.181577701678608,3.5157804768393572,-0.947517075304842,-1.100148010330417,-0.660078422944774,1.5190494976184765,0.1456856572808082,-1.0982950641910765,-1.3812931002752553,-1.3467447592266353,-1.3162310970708722,-0.860083408673472,-0.7825117066310607,-0.3124210763071025,1.0137834606041145,0.0,-0.4361872930098384,-2.382186376199454,3.4222926830134295,3.637168077380809,-2.3646890028736336,2.11469811686867,1.508156460515011,0.42409123661565323,-0.1550310765794355,-0.8169722795814262,1.7145390674070733,1.6881859333857923,-0.3514511540037199,0.2514369809289038,0.29871624421274684,-0.35176956963137507,-0.06938740255483146,-0.036075432905607614,-0.4474456570096938,-1.020066383250527,-0.7126557343881844,-0.3607177157324001,1.2166665586929044,-0.5403193517578107,-1.502635572643081,1.4327318924114965,0.1440396015217147,-1.647325239139306,0.9283390279075844,0.3216478463407631,-0.20774336341080782,-1.5614933066904824,-2.312618674348879,-0.6888807716562592,-0.3831759049126977,-1.1157168103180974,-0.7280206350937376,-0.07694148379430739,-0.18874837701791503,-0.3418697226815171,-0.6830097196081742,-1.0057406678966236,-1.13495829588133,-1.1306114714226108,-1.2333449934686957,-1.0148525466051708,-1.1747088601522562,-0.805874834973542,-0.34790390395946136,-0.3336737380108182,-0.20666492567024627,-0.6230296441591127
